location,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-03,0,0,0,0,0,0,0,0,0,121,73,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-04,0,0,0,0,0,0,0,0,0,165,103,0,12,0,0,0,0,0,0,0,0,0,0,0,15,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-05,0,0,0,0,0,0,0,0,0,105,85,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-06,0,0,0,0,0,0,0,0,0,178,115,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-07,0,0,0,0,0,0,0,0,0,274,108,0,12,0,0,0,0,0,0,0,0,0,0,0,16,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-08,0,3,0,0,3,0,0,0,0,117,24,0,21,0,0,0,0,0,0,4,0,0,0,0,19,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-09,0,2,0,0,36,0,0,0,0,50,52,0,26,0,0,0,0,0,0,6,0,0,0,0,36,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-10,0,1,0,0,3,0,0,0,0,31,301,0,34,0,0,0,0,0,0,11,0,0,0,0,43,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-11,0,0,0,0,1,0,0,0,0,15,81,0,21,0,0,0,0,0,0,2,0,0,0,0,41,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-12,0,1,0,0,1,0,0,0,0,9,23,0,10,0,0,0,0,0,0,2,0,0,0,0,14,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-13,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-14,0,0,0,0,0,0,0,0,0,4,17,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-15,0,2,0,0,4,0,0,0,0,2,14,0,1,0,0,0,0,0,0,4,0,0,0,0,6,0
БЕОГРАД - ЗЕЛЕНО БРДО,2021-02-16,0,0,0,0,2,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
